order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,delivery_discount,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD041885,ID0387921009,2022-07-30,Nickolson,"[('Candle Inferno', 2), ('Thunder line', 1), ('iAssist Line', 2)]",7490,56.952,-37.82071610000001,144.9630537,25,Winter,True,0.6182,great phone works with metro pcs,True
ORD217161,ID4326586167,2022-12-06,Thompson,"[('Lucent 330S', 2), ('Toshika 750', 1)]",6780,65.907,-37.7996868,144.9575799,25,Summer,True,1.71592,liberacion no está liberado para cualquier compañía,False
ORD338893,ID4520380514,2022-04-08,Thompson,"[('Lucent 330S', 1), ('Thunder line', 1), ('Candle Inferno', 1)]",3840,32.698,-37.8117459,144.9565632,50,Autumn,False,0.84132,thunder line and related devices are the best thing to come in a long time.,True
ORD076874,ID6202514701,2022-12-03,Nickolson,"[('Olivia x460', 1), ('Universe Note', 2), ('iStream', 1)]",8275,56.565,-37.8216297,144.9630304,0,Summer,False,0.6655, ,False
ORD035750,ID1463547048,2022-08-29,Bakers,"[('Universe Note', 1), ('iStream', 1), ('Lucent 330S', 2)]",6060,49.203,-37.8183617,145.0039538,25,Winter,False,1.20644,,True
ORD109643,ID0576834657,2022-12-30,Bakers,"[('Universe Note', 1), ('iStream', 1)]",3600,72.986,-37.8189685,144.98499840000005,25,Summer,True,1.34442,five stars thank you,True
ORD143521,ID1449266839,2022-06-20,Bakers,"[('iAssist Line', 2), ('Universe Note', 1), ('Thunder line', 2)]",12260,51.615,-37.8163994,144.9839803,0,Winter,False,1.2195,olivia s7 edge i dislike it since the phone that was sent had bad motherboard,False
ORD105691,ID4028046142,2022-02-28,Bakers,"[('pearTV', 1), ('Alcon 10', 2)]",24210,59.67,-37.811881,145.01204769999995,25,Summer,False,1.49366,five stars works great and keeps battery life pretty long considering price,True
ORD152221,ID0289648906,2022-05-30,Thompson,"[('iAssist Line', 2), ('Thunder line', 1)]",6630,57.787,-37.81101,144.94785280000005,25,Autumn,True,0.19756,four stars its great!,True
ORD218683,ID0477079437,2022-01-13,Nickolson,"[('Candle Inferno', 2), ('Thunder line', 2)]",5220,77.448,-37.80785770000001,144.9745664,0,Summer,False,1.27403,lovely and came early i got it earlier and i love it,True
ORD053349,ID0448077087,2022-02-22,Nickolson,"[('Universe Note', 1), ('pearTV', 2), ('Toshika 750', 1), ('iStream', 2)]",20690,87.282,-37.7990204,144.9739414,0,Summer,False,2.21293,amazing product it's the best phone i've ever bought so far. i recommend to anyone who is looking for a good phone for a affordable price.,True
ORD080889,ID0589306718,2022-11-04,Nickolson,"[('iAssist Line', 1), ('Alcon 10', 1)]",4750,56.95,-37.8126219,144.972486,25,Spring,False,0.71325,cool perfect. high level than alcon,True
ORD270629,ID4312130691,2022-09-08,Bakers,"[('Alcon 10', 2), ('pearTV', 1), ('Universe Note', 2)]",31110,77.955,-37.8199018,144.99069319999995,25,Spring,True,1.17269,overall good phone besides camera in one of the phones the front camera doesn’t work,True
ORD198916,ID1463620444,2022-12-04,Bakers,"[('Olivia x460', 1), ('Universe Note', 2)]",8125,39.097,-37.8180792,144.99466769999995,50,Summer,True,0.90115,if i knew it looked like this i would have never bought this this phone is so scratched up. if i knew it looked like this i would have never bought this. i'm so pissed. and not once do i see that this was a used phone.,False
ORD063276,ID6167266642,2022-05-29,Nickolson,"[('pearTV', 2), ('Candle Inferno', 2), ('iStream', 1), ('iAssist Line', 2)]",18080,41.159,-37.8075932,144.96293490000005,50,Autumn,True,1.35587,"five stars perfect cell, it's really nice",True
ORD229733,ID6167489477,2022-12-28,Nickolson,"[('Lucent 330S', 1), ('Toshika 750', 2), ('Thunder line', 2)]",14230,54.724,-37.8167841,144.96168730000005,25,Summer,False,0.72029,"good phone this was a good phone. got stolen visiting another country, it attracted pick pockets",True
ORD251140,ID2213981032,2022-09-23,Bakers,"[('Lucent 330S', 2), ('iStream', 1), ('iAssist Line', 1)]",4835,66.071,-37.7989619,144.9842937,0,Spring,False,1.56021,"breaks constantly first one broke in 3 months, refurbished one broke in 1 - camera isn't worth it!!!",False
ORD104209,ID3163980132,2022-06-07,Thompson,"[('Alcon 10', 1), ('pearTV', 1), ('Lucent 330S', 1), ('Universe Note', 2)]",23390,52.204,-37.8034179,144.956843,0,Winter,False,1.34179,worked for one day and then it died i would not buy a renewed or refurbished phone. i am sending this back with the 90 day guarantee.,False
ORD209767,ID4655129041,2022-04-24,Thompson,"[('iAssist Line', 2), ('Universe Note', 2)]",11350,57.64,-37.809256,144.94835759999995,25,Autumn,True,0.39692,"great buy! great phone, exactly as described. easy to use. super pictures.",True
ORD385168,ID0628173994,2022-01-07,Thompson,"[('iAssist Line', 2), ('Toshika 750', 2)]",13090,64.399,-37.8128225,144.9479064,25,Summer,True,0.0755,from such a small speaker it sounds great,True
ORD019572,ID0579512331,2022-09-23,Thompson,"[('iAssist Line', 2), ('Candle Inferno', 1), ('Olivia x460', 2)]",7330,34.838,-37.8135942,144.94787340000005,50,Spring,False,0.12457,buen equipo hasta el momento ha resultado satisfactorio,True
ORD172651,ID2005895265,2022-09-19,bakers,"[('Alcon 10', 1), ('Candle Inferno', 2)]",9810,54.826,-37.80276720000001,144.9660805,50,Spring,True,1.78815,"awsome phone !! olivia dose it again, top notch !! this phone will exceed all your expectations. still a good choice for 2019.",True
ORD004712,ID0767583089,2022-03-31,Nickolson,"[('iAssist Line', 1), ('Olivia x460', 1)]",3450,32.808,-37.80793170000001,144.97170380000003,50,Autumn,False,1.20201,five stars loved it!,True
ORD324442,ID2583477003,2022-08-14,Bakers,"[('Thunder line', 1), ('Toshika 750', 1)]",6500,64.159,-37.8103816,144.9898444,0,Winter,False,0.47576,good camera for the price i love how great this phone is,True
ORD466779,ID0777759743,2022-08-15,Thompson,"[('Thunder line', 1), ('pearTV', 2), ('Candle Inferno', 1)]",15230,40.357,-37.8060843,144.9572116,50,Winter,True,1.15484,"olivia universe s7 32 gb the phone came as advertised. very little to know wear. the battery, storage space, along with the quality and clarity of the screen is excellent. the phone was a super upgrade from my s5 and i will purchased from them again.",True
ORD468384,ID2978792697,2022-01-31,Bakers,"[('Toshika 750', 2), ('iStream', 2), ('Lucent 330S', 1)]",10170,40.804,-37.8116233,145.0120991,50,Summer,False,1.49439,"much better than alcons! this is the american version of mate 10 pro, which is designed to use in north america. i just fell it from the second floor and there isn't even a small damage. trust me, buy it right now!",True
ORD346140,ID3218293527,2022-09-02,Thompson,"[('Olivia x460', 2), ('Candle Inferno', 2), ('Universe Note', 1)]",6760,39.712,-37.8028513,144.9473439,50,Spring,False,1.09361,five stars works amazing,True
ORD445261,ID2769033576,2022-10-06,Nickolson,"[('iAssist Line', 2), ('Lucent 330S', 1), ('iStream', 1)]",5830,81.4,-37.8185639,144.9677756,0,Spring,True,0.15616,"crap phone lasted about one week, total piece of junk",False
ORD381484,ID0581711294,2022-12-23,Thompson,"[('Toshika 750', 2), ('iAssist Line', 1), ('Candle Inferno', 2), ('Thunder line', 1)]",13905,42.639,-37.8050914,144.9280168,50,Winter,False,1.87613,battery is great! everything is perfect except fingerprints!,True
ORD294829,ID0253027651,2022-04-08,Thompson,"[('Candle Inferno', 1), ('Lucent 330S', 1), ('Alcon 10', 2), ('Toshika 750', 1)]",23880,50.464,-37.8239786,144.9438523,25,Autumn,False,1.28988,"teenage boys got this as a gift for my son and he loves it...said it was the best phone he's ever had since he was born, he only 14. lol",True
ORD085408,ID3394653902,2022-05-05,Thompson,"[('Universe Note', 2), ('Lucent 330S', 1), ('Candle Inferno', 2), ('iAssist Line', 2)]",13440,39.089,-37.8201205,144.9400868,25,winter,False,1.03162,very upsetting i am not happy with the phone i had ordered a new olivia universe alpha and i had received a used one that was filthy it had some crusty stuff all over it,False
ORD284593,ID0581703434,2022-07-07,Thompson,"[('iStream', 2), ('Lucent 330S', 2), ('pearTV', 1)]",9070,40.597,-37.8095174,144.92987319999997,25,Winter,False,1.55253,"sold as new but was actually refurbished. fell once ... sold as new but was actually refurbished. fell once, had a tiny crack on screen, never worked again. unable to be fixed",False
ORD332719,ID0282854637,2022-09-17,Bakers,"[('Thunder line', 1), ('Lucent 330S', 2), ('Candle Inferno', 2), ('iStream', 1)]",5650,89.105,-37.8020123,145.0202706,0,Spring,False,2.37473,good shopping experience item was as expected.,True
ORD053907,ID4998966832,2022-05-24,Nickolson,"[('iAssist Line', 1), ('Universe Note', 1), ('iStream', 2), ('Candle Inferno', 1)]",6405,25.08,-37.809775,144.97240109999996,50,Autumn,False,1.0133,"it can not be set in spanish poor cam, i bought the phone to be use in venezuela ans the phone came in a language that i do not know. it has the option to set the language in english but not in spañish...",False
ORD144767,ID2266562042,2022-08-05,Thompson,"[('iStream', 2), ('Alcon 10', 1)]",9250,38.79,-37.8119474,144.9564969,50,Winter,True,0.83305,enjoying it so much!!!,True
ORD398329,ID0664378922,2022-12-06,Nickolson,"[('Olivia x460', 1), ('Toshika 750', 2), ('Alcon 10', 1)]",18815,44.265,-37.8199907,144.9659912,50,Summer,True,0.34947,five stars completely satisfied!!,True
ORD389307,ID6167289312,2022-03-20,Nickolson,"[('pearTV', 1), ('Toshika 750', 1)]",10630,65.759,-37.8082448,144.96889199999995,0,Autumn,False,1.15361,i was looking for a easy to use tablet for a beginner and this met my needs .,True
