order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,delivery_discount,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD149388,ID0575554320,2022-03-23,Nickolson,"[('Olivia x460', 1), ('Toshika 750', 1)]",5545,84.253,-37.8260999,144.9847408,0,Autumn,True,1.57541,five stars it's good,True
ORD088785,ID0554206042,2022-08-16,,"[('iStream', 1), ('Lucent 330S', 2), ('Alcon 10', 1)]",11560,68.315,-37.7987409,144.9359,0,Winter,True,1.83582,one star couldnt activate the phone beacause it was reported stolen -10☆,False
ORD145019,ID2165149751,2022-08-07,Nickolson,"[('Lucent 330S', 1), ('Thunder line', 1), ('Candle Inferno', 2), ('Toshika 750', 2)]",12910,44.88,-37.8181438,144.9648496,25,Winter,True,0.41646,this is a single sim card device this is a single sim card device which the product description is not clearly indicated. i was disappointed and returned the phone immediately.,False
ORD174195,ID6167289287,2022-12-28,Nickolson,"[('iStream', 1), ('Olivia x460', 2)]",2600,56.619,-37.8104156,144.9614858,25,Summer,False,1.15415,"great product i loved your product , im super satisfied with the phone great company . thank u",True
ORD143881,ID2090732595,2022-11-09,,"[('Thunder line', 1), ('Toshika 750', 2), ('iAssist Line', 1)]",13045,53.264,-37.8042277,144.9817977,50,Spring,True,1.34475,i love it.  it is so easy to use,True
ORD449226,ID0266739818,2022-08-21,Bakers,"[('iAssist Line', 1), ('Olivia x460', 2), ('Alcon 10', 1)]",13625,35.039,-37.82377520000001,144.99064909999996,50,Winter,False,1.58591,five stars excellent product!!,True
ORD394144,ID0775933297,2022-04-17,Thompson,"[('Candle Inferno', 2), ('iAssist Line', 2), ('pearTV', 1)]",11620,,-37.8058503,144.9593619,25,Autumn,False,1.32125,five stars i love it very much.,True
ORD151066,ID0247417836,2022-04-07,Nickolson,"[('Thunder line', 2), ('Universe Note', 2), ('Lucent 330S', 1), ('Olivia x460', 1)]",13715,47.069,-37.8181955,144.9689649,25,Autumn,False,0.06807,"for a $2. 99 phone plus triple the minutes ... for a $2.99 phone plus triple the minutes, plus camera/video, plus fm player, plus music player. wow. this is a deal.",True
ORD144036,ID0207093576,2022-11-20,Bakers,"[('Toshika 750', 2), ('Candle Inferno', 2), ('iAssist Line', 2), ('Alcon 10', 1)]",22900,59.585,-37.8032079,145.0079329,25,Spring,False,1.34862,great product!,True
ORD394867,ID2776561964,2022-03-19,Bakers,"[('Universe Note', 1), ('Thunder line', 1), ('Lucent 330S', 2)]",8090,80.514,-37.816536600000006,144.99253330000005,0,Autumn,True,0.76577,love it very cool works great love it very cool works great,True
ORD437733,ID6167357869,2022-04-05,Nickolson,"[('Toshika 750', 2), ('Candle Inferno', 2), ('Thunder line', 1)]",11680,32.209,-37.81348920000001,144.9738639,50,Autumn,False,0.68329,this tablet is by far one of the best purchases we've made for my son. the kids feature is extra nice!,True
